date,value
2022-09-30,2329607836.7579355
2022-10-10,2078205227.5939956
2022-10-11,2067713964.9701052
2022-10-12,2093952938.4965894
2022-10-13,1917352535.5044863
2022-10-14,1940196061.4554331
2022-10-17,1957973778.1639915
2022-10-18,1962407214.3391774
2022-10-19,1669453192.654671
2022-10-20,1355645950.9526103
2022-10-21,1239528461.9848697
2022-10-24,1228551577.3847528
2022-10-25,1253486836.2030535
2022-10-26,1289069929.5847604
2022-10-27,1227794435.150724
2022-10-28,1224651141.07818
2022-10-31,1107538932.0888255
2022-11-01,1004534329.6800904
2022-11-02,1006511036.6636527
2022-11-03,946732526.7271026
2022-11-04,954701394.8437741
2022-11-07,903698877.8061268
2022-11-08,897089195.1374671
2022-11-09,907988138.8335049
2022-11-10,940846265.2238817
2022-11-11,849998371.9623144
2022-11-14,727865825.624889
2022-11-15,736098696.6850605
2022-11-16,730873077.531317
2022-11-17,678651587.7116389
2022-11-18,672735431.304507
2022-11-21,621990113.4517964
2022-11-22,499184252.3816701
2022-11-23,389536899.41939753
2022-11-24,362354482.4891453
2022-11-25,366417178.1154053
2022-11-28,321808991.0874152
2022-11-29,298499776.2238555
2022-11-30,297768090.1773554
2022-12-01,448605260.8793085
2022-12-02,445683139.1369962
2022-12-05,452591028.2879779
2022-12-06,456333380.7822328
2022-12-07,462609323.53913134
2022-12-08,416379224.7474381
2022-12-09,370421020.5395572
2022-12-12,324152448.5577532
2022-12-13,323885462.82110023
2022-12-14,326172324.57472175
2022-12-15,317817669.9309551
2022-12-16,316108426.770176
2022-12-19,313212968.50078505
2022-12-20,301707344.4396854
2022-12-21,300020688.1728692
2022-12-22,276867932.3965717
2022-12-23,276287004.31577337
2022-12-26,246893246.97847736
2022-12-27,251023388.70052153
2022-12-28,249966676.53564566
2022-12-29,249860597.53386384
2022-12-30,248619859.78652498
2023-01-03,261018697.93305498
2023-01-04,237901200.3196627
2023-01-05,234957987.16472438
2023-01-06,228943760.8805595
2023-01-09,233786481.17762884
2023-01-10,190975507.13558984
2023-01-11,190906630.2318357
2023-01-12,188711052.03611276
2023-01-13,185997548.79993543
2023-01-16,170042644.8290444
2023-01-17,170049413.7353625
2023-01-18,169071534.9983011
2023-01-19,158663866.25767985
2023-01-20,146728295.11444014
2023-01-30,148273346.26585495
2023-01-31,146860629.23338196
2023-02-01,148445166.20363522
2023-02-02,125142352.41825981
2023-02-03,124537701.42771177
2023-02-06,121670368.3240851
2023-02-07,114921527.3897012
2023-02-08,119707666.7698065
2023-02-09,118846433.53129636
2023-02-10,119015983.85885432
2023-02-13,114480381.62067533
2023-02-14,116641955.16145936
2023-02-15,121984120.5222808
2023-02-16,112814689.74057445
2023-02-17,104415366.14469542
2023-02-20,95253233.82976002
2023-02-21,92933418.96194865
2023-02-22,95017738.50571722
2023-02-23,91490193.16921118
2023-02-24,90684393.82407524
2023-02-27,90558155.21145834
2023-02-28,80731025.61335772
2023-03-01,81588672.37363772
2023-03-02,76719113.42572784
2023-03-03,76798282.55509928
2023-03-06,77579084.40345871
2023-03-07,75016981.25964332
2023-03-08,69306541.50498101
2023-03-09,70896057.95719445
2023-03-10,67877705.48519403
2023-03-13,73693519.99871361
2023-03-14,72564708.61619031
2023-03-15,74056916.60023566
2023-03-16,76754517.68666098
2023-03-17,76270525.45947877
2023-03-20,74024790.61510772
2023-03-21,72956909.94067177
2023-03-22,71687480.28994656
2023-03-23,69252667.94632775
2023-03-24,64768349.14595797
2023-03-27,65552434.21107078
2023-03-28,62304538.39584511
2023-03-29,56706887.41169171
2023-03-30,56412161.9204042
2023-03-31,58046187.62820923
2023-04-03,61898405.260434344
2023-04-04,62926873.163118616
2023-04-06,62312558.466101386
2023-04-07,65778585.764337376
2023-04-10,64041342.22014141
2023-04-11,65695866.155649066
2023-04-12,64564298.808344185
2023-04-13,63466857.367780626
2023-04-14,64192128.316204846
2023-04-17,65025454.1768284
2023-04-18,61358318.59859774
2023-04-19,61853175.43089276
2023-04-20,59597591.040833294
2023-04-21,58057601.03194438
2023-04-24,53668303.03547227
2023-04-25,47886321.307944916
2023-04-26,49932798.40377271
2023-04-27,47631420.39474924
2023-04-28,49192943.721197575
2023-05-04,52843872.098808825
2023-05-05,49649990.59531933
2023-05-08,48147628.03274474
2023-05-09,43760138.60585331
2023-05-10,43783191.194705315
2023-05-11,40196548.76369447
2023-05-12,39997671.82296971
2023-05-15,39854771.2929314
2023-05-16,35350583.016386844
2023-05-17,33420110.311387755
2023-05-18,30333062.388137594
2023-05-19,30047928.578353714
2023-05-22,30342772.24340545
2023-05-23,30403451.687939722
2023-05-24,27493456.349375453
2023-05-25,27342614.033092998
2023-05-26,28073892.0669472
2023-05-29,27732281.169242583
2023-05-30,27790593.772031125
2023-05-31,27377432.942750797
2023-06-01,26897312.754853487
2023-06-02,26933738.278661992
2023-06-05,26859339.89660861
2023-06-06,26083137.802190375
2023-06-07,26293813.645914663
2023-06-08,25865728.257556763
2023-06-09,21231629.99707145
2023-06-12,21560478.195798345
2023-06-13,21882327.818408348
2023-06-14,22356499.501420196
2023-06-15,22693922.95562034
2023-06-16,22730864.030491974
2023-06-19,20778169.219832707
2023-06-20,20494574.625940338
2023-06-21,16244917.51599575
2023-06-26,15625150.434387647
2023-06-27,15645536.99460043
2023-06-28,13629584.235839514
2023-06-29,13871104.418805381
2023-06-30,14171873.587915782
2023-07-03,14588796.578195779
2023-07-04,13601478.660663275
2023-07-05,13745480.65070073
2023-07-06,12570594.426905904
2023-07-07,11186972.295776704
2023-07-10,10919536.627106583
2023-07-11,10891717.81090549
2023-07-12,10945820.424742902
2023-07-13,10124350.939193182
2023-07-14,9623767.598929102
2023-07-17,9820904.655876432
2023-07-18,9638780.459392143
2023-07-19,9640586.37709199
2023-07-20,9344378.674459947
2023-07-21,8917406.424328327
2023-07-24,8786062.87153173
2023-07-25,7999288.915348702
2023-07-26,7440903.969595863
2023-07-27,7150323.5794337
2023-07-28,7170325.210202021
2023-07-31,7418797.348279171
2023-08-01,7245169.6470128205
2023-08-02,7110161.019461513
2023-08-03,7174631.0141980825
2023-08-04,7116728.910300739
2023-08-07,6909581.976300043
2023-08-08,6866867.127311971
2023-08-09,6838517.802175367
2023-08-10,6479631.070832796
2023-08-11,6235077.457400157
2023-08-14,6226710.440316022
2023-08-15,6454736.128650653
2023-08-16,6840944.455632642
2023-08-17,6742504.231759646
2023-08-18,6425213.8302610805
2023-08-21,6471215.700023954
2023-08-22,6692212.275138899
2023-08-23,6574260.367360771
2023-08-24,6357508.843755802
2023-08-25,6136297.101159043
2023-08-28,5122906.823109781
2023-08-29,5283473.121937711
2023-08-30,5067251.016935617
2023-08-31,5106177.441780337
2023-09-01,4878254.299294928
2023-09-04,4636805.830930918
2023-09-05,4600294.224825878
2023-09-06,4640292.399478689
2023-09-07,4699442.435817319
2023-09-08,4766613.087835441
2023-09-11,4775216.835280987
2023-09-12,4632679.306238672
2023-09-13,4839962.9807189545
2023-09-14,4876980.779637657
2023-09-15,4862757.649842827
2023-09-18,4408863.385732489
2023-09-19,4368959.0514895925
2023-09-20,4207754.511594231
2023-09-21,4312944.249198068
2023-09-22,4343542.469553969
